"","Name","First_opened","First_location","Count","Source","People_per_md","Notes"
"1","United States","May 15, 1940Franchise: April 13, 1955","San Bernardino, CaliforniaDes Plaines, Illinois (Franchise)","14146","(source: Investopedia November 15, 2018)","23130","See McDonald's USA"
"2","Canada","June 3, 1967","Richmond, British Columbia","1450","(source: Investopedia November 15, 2018)","25560","This is the first McDonald's outside of the United States. See McDonald's Canada"
"3","Puerto Rico","December 6, 1967","San Juan","108","(source: McDonald's 2013)","29583","First McDonald's in Latin America and in the Caribbean. See McDonald's Puerto Rico"
"4","U.S. Virgin Islands","September 5, 1970","St. Croix","6","(source: McDonald's 2013)","17878",""
"5","Costa Rica","December 8, 1970","San José, 4th street, between 1st and Central Avenue.","54","(source: McDonald's 2013)","90852","Third country (not U.S. possession) and first outlet outside Northern America where McDonald's opened. See McDonald's Costa Rica"
"6","Australia","May 30, 1971","Yagoona, New South Wales[8]","970","(source: Investopedia November 15, 2018)","26739","First outlet in Oceania and first outlet outside the Americas. See McDonald's Australia. Locally known as Maccas."
"7","Guam","June 10, 1971","Dededo","6","(source: Statista 2016)","27372","First outlet in Micronesia."
"8","Japan","July 21, 1971","Tokyo","2975","(source: Investopedia November 15, 2018)","42622","First outlet in Asia, see McDonald's Japan; McDonald's Holdings Company Japan, Inc.[10] locally known as makku (<U+30DE><U+30C3><U+30AF>). The most McDonald's in a country out of the United States"
"9","Netherlands","August 21, 1971","Zaandam","254","(source: McDonald's 2019)","69714","This was the first outlet in Europe. Opened in 1971 by European Master Franchisees Jan Sybesma McDonald's Europe – Plan to open 15 more stores in the next 4 years. See McDonald's Netherlands"
"10","Panama","September 1, 1971","Panama City","57","(source: McDonald's 2013)","71912","See McDonald's Panama"
"11","Germany","November 22, 1971( West Germany)December 21, 1990(former  East Germany)[12]","Munich( West Germany)Plauen(former  East Germany)","1472","(source: Investopedia November 15, 2018)","55939","First outlet in West Germany opened in Munich-Obergiesing in 1971. McDonald's is locally known as Megges. First outlet in the new states of Germany opened in Plauen in 1990 following reunification.  
"
"12","France","June 30, 1972","Créteil","1419","(source: Investopedia November 15, 2018)","47209","First outlet in Creteil in 1972 even though McDonald's officially recognizes the first outlet in Strasbourg in 1979. See McDonald's France.  
"
"13","El Salvador","July 20, 1972","San Salvador","19","(source: McDonald's 2019)","318900","Many restaurants were Bombed in the 80s by the Salvadoran Guerilla But the Chain maintained Operations In the Country."
"14","Sweden","October 27, 1973","Kungsgatan 4, Stockholm","16","(source: McDonald's 2019)","44422","First outlet in Scandinavia. See McDonald's Sweden"
"15","Guatemala","June 6, 1974","Guatemala City","95","(source: McDonald's 2019)","179894","See McDonald's Guatemala"
"16","Curaçao","August 16, 1974","Willemstad","5","(source: McDonald's 2013)","32203","See McDonald's Aruba and Curaçao"
"17","United Kingdom","England: November 13, 1974[17]Wales: December 3, 1984Scotland: November 23, 1987[18]Northern Ireland: October 12, 1991","Woolwich, London (England)Cardiff (Wales)Dundee (Scotland)Belfast (Northern Ireland)","1274","(source: Investopedia November 15, 2018)","51837","Includes Isle of Man and Jersey (1 each)England: 1,038Scotland: 95Wales: 62Northern Ireland: 26See McDonald's UK"
"18","Hong Kong","January 8, 1975","Paterson Street, Causeway Bay, Hong Kong Island.[19]","237","(source: World Atlas January 12, 2018)","31190","First outlet in a Chinese-speaking territory. Hong Kong was then a British Crown colony/Dependent Territory; McDonald's would open up a restaurant in China itself 15 years later. See McDonald's Hong Kong."
"19","Bahamas","August 4, 1975","Nassau","3","(source: Dec. 2012)","131787","First outlet in an independent country of the Caribbean."
"20","New Zealand","June 7, 1976","Porirua Central, Wellington[20]","166","(source: 2018)","28880","Founded in New Zealand by Wally and Hugh Morris[21]First South Island restaurants opened at Linwood and Merivale, both Christchurch, on 3 November 1987.[22] See McDonald's New Zealand."
"21","Switzerland","October 20, 1976","Geneva","167","(source: McDonald's 2019)","50419","see McDonald's Switzerland"
"22","Ireland","May 9, 1977","Grafton Street, Dublin","89","(source: McDonald's 2013)","53753","First drive-thru in Europe opened in Nutgrove, Dublin and first McCafé in Europe Grafton Street, Dublin, see McDonald's Ireland"
"23","Austria","July 21, 1977","Schwarzenbergplatz, Vienna","195","(source: McDonald's 2019)","45456","see McDonald's Austria"
"24","Belgium","March 21, 1978","Brussels","85","(source: McDonald's 2019)","153378","See McDonald's Belgium"
"25","Brazil","February 13, 1979","Rio de Janeiro","1000","(source: Investopedia November 15, 2018)","257759","First outlet in South America and first outlet in a lusophone country. See McDonald's Brazil"
"26","Singapore","October 20, 1979","Liat Towers, Orchard Road","136","(source: Dec. 2012)","41265","First outlet in Southeast Asia. See McDonald's Singapore All Singaporean McDonald's locations are certified <U+1E25>alal.[24]"
"27","Spain","March 10, 1981","Gran Vía, Madrid","520","(source: Verdict April 18, 2018)","91788","First outlet in the Iberian Peninsula, see McDonald's Spain"
"28","Denmark","April 15, 1981","Vesterbrogade 2D, Copenhagen","89","(source: 2018)","64596","See McDonald's Denmark"
"29","Philippines","September 27, 1981","Morayta, Sampaloc, Manila","668","(source: BusinessWorld July 3, 2020)","163173","See McDonald's Philippines  
"
"30","Malaysia","April 29, 1982","Jalan Bukit Bintang, Kuala Lumpur[27]","282","(source: McDonald's 2019)","100701","Oldest surviving outlet in a Muslim-majority country. See McDonald's Malaysia"
"31","Norway","November 18, 1983","Nedre Slottsgate, Oslo","71","(source: McDonald's 2019)","72027","see McDonald's Norway"
"32","Taiwan","January 28, 1984","Minsheng East Road, Taipei","413","(source: World Atlas January 12, 2018)","57094","All restaurants were temporarily closed in 1992 during investigations of restaurant bombings in Taiwan; they reopened after investigations had concluded.See McDonald's Taiwan

"
"33","Andorra","June 29, 1984","Andorra la Vella","5","(source: 2018)[28]","15393",""
"34","Finland","December 14, 1984","Hämeenkatu 17, Tampere","65","(source: McDonald's 2019 [1])","84662","see McDonald's Finland"
"35","Thailand","February 23, 1985","Bangkok","240","(source: World Atlas January 12, 2018)","287667","see McDonald's Thailand"
"36","Italy","March 20, 1985","Bolzano[29]","598","(source: McDonald's 2019)","103500","see McDonald's Italy"
"37","Aruba","April 4, 1985","Oranjestad","4","(source: 2016)","26316","See McDonald's Aruba and Curaçao"
"38","Luxembourg","July 17, 1985","Luxembourg City","10","(source: 2013)","59067","see McDonald's Luxembourg"
"39","Venezuela","August 31, 1985","Caracas","133","(source: 2018 website)","240451","see McDonald's Venezuela"
"40","Mexico","October 29, 1985","Mexico City","402","(source: World Atlas January 12, 2018)","321393","see McDonald's Mexico"
"41","Cuba","April 24, 1986","Guantanamo Bay","1","(source: Dec. 2012)","11480,000","Guantanamo Bay; open only to military personnel. Not accessible for Cuban citizens."
"42","Turkey","October 24, 1986","Istanbul","253","(source: McDonald's 2019)","312980","First outlet opened in East Thrace; outlets in Anatolia would open later. Also first outlet in the Turkic-speaking world, with Azerbaijan coming second at 1999. See McDonald's Turkey"
"43","Argentina","November 24, 1986","Belgrano, Buenos Aires","222","(source: Jun. 2018)","199414","see McDonald's Argentina."
"44","Macau","April 11, 1987","Rua do Campo, Cathedral Parish, Macau Peninsula","27","(source: Dec. 2012)","23058","Then Portuguese territory; McDonald's would only open a restaurant in Portugal itself 4 years later. see List of restaurants."
"45","Serbia","March 24, 1988","Slavija Square, Belgrade","30","(source: McDonald's 2020)[30]","234067","First outlet in a communist country (not communist anymore) and first outlet in the Balkans. See McDonald's Serbia"
"46","South Korea","March 29, 1988","Gangnam District, Seoul","447","(source: McDonald's 2019)","115145","See McDonald's South Korea"
"47","Hungary","April 13, 1988","Budapest[31]","90","(source: McDonald's 2019)[32]","111341","Second communist country, first Warsaw Pact member, thus first outlet behind the Iron Curtain. Locally known as Meki. See McDonald's Hungary"
"48","Russia","January 31, 1990","Pushkin Square, Moscow","737","(source: June 2020)","195911","First outlet in the Soviet Union itself, which then disintegrated 23 months after its opening. See [2]"
"49","China","October 8, 1990","Dongmen, Luohu District, Shenzhen","2700","(source: Investopedia November 15, 2018)","513333","See McDonald's China."
"50","Chile","November 19, 1990","Santiago","77","(source: Dec. 2012)","234416","See McDonald's Chile"
"51","Indonesia","February 23, 1991","Sarinah, Jakarta (Closed May 10, 2020)","224","(source: February 2020)","1552,941","First branch in Sarinah closed 2020 due to refurbishment of Sarinah itself.[33] See McDonald's Indonesia"
"52","Portugal","May 23, 1991","CascaiShopping, Cascais","175","(source: May 2020)","69662","See McDonald's Portugal"
"53","Greece","November 12, 1991","Athens Syntagma Sq.","25","(source: McDonald's 2019)","448750","See McDonald's Greece"
"54","Uruguay","November 18, 1991","Montevideo","21","(source: 2014)","164619","See McDonald's Uruguay"
"55","Martinique","December 16, 1991","Fort-de-France","9","(source: 2016)","40484","See McDonald's French Antilles"
"56","Czech Republic","March 20, 1992","Vodickova street, Prague","101","(source: early 2020)","106868","First McDonald's outlet to open after the Cold War. See McDonald's Czech Republic"
"57","Guadeloupe","April 8, 1992","","8","(source: 2016)","47838","See McDonald's French Antilles"
"58","Poland","June 16, 1992","Marszalkowska Street, Warsaw in department store ""Sezam""","445","(source: McDonald's 2020)","86894","See McDonald's Poland"
"59","Monaco","November 20, 1992","Monte Carlo","2","?","19348",""
"60","Brunei","December 12, 1992","Bandar Seri Begawan","3","(source: 2018)","142899","See Bruneian McDonald's"
"61","Morocco","December 18, 1992","Casablanca","52","[35]","750553","First outlet in Africa and the first outlet in the Arab World; McDonald's is now present in all continents except Antarctica. See McDonald's Morocco"
"62","Northern Marianas","March 18, 1993","Saipan","2","(source:August 2011)","27572","First outlet opened on the island of Saipan; second outlet opened in 1997"
"63","Israel","October 14, 1993","Ayalon Mall, Ramat Gan","185","(source: 2016)","47092","First outlet in the Middle East. See McDonald's Israel"
"64","Slovenia","December 2, 1993","Copova Street, Ljubljana","20","(source: McDonald's 2019)","103300","See McDonald's Slovenia"
"65","Saudi Arabia","December 8, 1993","Riyadh","304","(source: McDonald's 2019)","125247","First outlet in the Arabian Peninsula. See McDonald's Saudi Arabia McDonald's Saudi Arabia"
"66","Kuwait","June 15, 1994","Kuwait City (CLOSED)","77","(source: McDonald's 2019)","57458",""
"67","New Caledonia","July 26, 1994","Nouméa","2","(source: 2012)","140230",""
"68","Oman","July 30, 1994","Salalah","24","(source: McDonald's 2019)","201565","See McDonald's Oman"
"69","Egypt","October 20, 1994","Cairo","114","(source: McDonald's 2019)","937981","See McDonald's Egypt"
"70","Bulgaria","December 10, 1994","Plovdiv","35","(source: McDonald's 2019)","200001","See McDonald's Bulgaria"
"71","Bahrain","December 15, 1994","Manama","23","(source: McDonald's 2019)","64913","See McDonald's Bahrain"
"72","Latvia","December 15, 1994","Riga","13","(source: McDonald's 2019)[36]","147690","First outlet in the Baltics. See McDonald's Latvia"
"73","United Arab Emirates","December 21, 1994","Dubai[37]","172","(source: McDonald's 2019)","56970","See McDonald's UAE"
"74","Estonia","April 29, 1995","Tallinn","10","(source: McDonald's 2019)[38]","132482","See McDonald's Estonia"
"75","Romania","June 16, 1995","Bucharest","84","(source: McDonald's 2020)","280571","See McDonald's Romania"
"76","Malta","July 7, 1995","Valletta","9","(source: McDonald's 2020, 1 in Malta, 1 in Gozo)","46023","See McDonald's Malta"
"77","Colombia","July 14, 1995","Centro Andino, Bogota","81","(source: July 2013)","605803","See McDonald's Colombia"
"78","Slovakia","October 14, 1995","Banská Bystrica","30","(source: McDonald's 2019)","181167","See McDonald's Slovakia"
"79","South Africa","November 11, 1995","Blackheath, Gauteng","275","(source: McDonald's 2019)","252089","First outlet in Southern Africa. See McDonald's South Africa"
"80","Qatar","December 13, 1995","Doha","46","(source: McDonald's 2019)","62833","See McDonald's Qatar"
"81","Honduras","December 14, 1995","Tegucigalpa","10","(source: McDonald's 2019)","842273","See McDonald's Honduras"
"82","Sint Maarten","December 15, 1995","Philipsburg","3","(source: December 2013)","13703",""
"83","Croatia","February 2, 1996","Zagreb","35","(source: McDonald's 2020)[39]","122425","See McDonald's Croatia"
"84","Samoa","March 2, 1996","Apia","1","?","196440",""
"85","Fiji","May 1, 1996","Suva","4","(source: 2001)","226376","As of April 2012, Fiji was the only country in the world to still use the 2003 ""i'm lovin' it"" packaging, even though the other countries are using the 2008 packaging for meals and items. See McDonald's Fiji"
"86","Liechtenstein","May 3, 1996","Triesen","1","(source: 2018)","37810","See McDonald's Switzerland"
"87","Lithuania","May 31, 1996","Vilnius","14","(source: McDonald's 2019)[40]","199586","See McDonald's Lithuania"
"88","India","October 13, 1996[41]","Delhi","16","(source: World Atlas January 12, 2018)","4617,241","First outlet in South Asia. See McDonald's India"
"89","Peru","October 18, 1996","Lima","40","(source: 2014)","804250","See McDonald's Peru"
"90","Jordan","November 7, 1996","Amman","31","(source: 2018)","312968",""
"91","Paraguay","November 21, 1996","Asuncion","19","(source: 2018)","358474","See McDonald's Paraguay"
"92","Dominican Republic","November 30, 1996","Santo Domingo","31","?","347419","Country with the second most locations of McDonald's in the Caribbean, after Puerto Rico. See McDonald's Dominican Republic"
"93","French Polynesia","December 10, 1996","Tahiti","6","?","47167",""
"94","Belarus","December 10, 1996","Minsk","15","(source: 2018)","633867","First McDonald's in a non-Baltic former Soviet republic (not including Russia)
The company claimed this as McDonald's ""100th country"" although this calculation included many non-sovereign territories. See McDonald's Belarus."
"95","Trinidad and Tobago","May 6, 1997","The Falls at West Mall","6","?","228167","McDonald's previously had stores in Trinidad (May 6, 1997 – October 25, 2003) but closed due to low sales. Re-opened at The Falls at West Mall in 2011 and has expanded to 5 other locations.[42]"
"96","Ukraine","May 24, 1997","Kiev","93","(source: December 2019)","451612","All three restaurants in the peninsula of Crimea were closed in 2014. See McDonald's Ukraine"
"97","Cyprus","June 12, 1997","Larnaca","18","(source: 2016)","47489","See McDonald's Cyprus"
"98","Jersey","August 1, 1997","Saint Helier","1","?","100080",""
"99","Ecuador","October 9, 1997","Centro Comercial Iñaquito (CCI), Quito","30","(source: 2020)","566667","See McDonald's Ecuador"
"100","Reunion","December 14, 1997","Saint-Denis","4","(source: 2018)","216627",""
"101","Isle of Man","December 15, 1997","Douglas","1","?","84287",""
"102","Suriname","December 18, 1997","Paramaribo","2","(source: 2010)","281701",""
"103","Moldova","April 30, 1998","Chi<U+0219>inau","5","(source: 2018)","710000","See McDonald's Moldova"
"104","Nicaragua","July 11, 1998","Managua","6","(source: June 2010)","1036,333","McDonald's outlets ceased operation during the Nicaraguan Civil War and re-established a presence in 1998 after an absence of two decades. During the civil war one continued operating as ""Donald's"".[43] See McDonald's Nicaragua"
"105","Lebanon","September 18, 1998","Beirut","23","(source: 2018)","264435","See McDelivery Lebanon, which is currently merged with its official website as local franchisee Miknas Food S.A.L. is gradually reforming their McDonald's store chain"
"106","Pakistan","September 19, 1998[44]","Lahore","71","(source: 2020)","1858,491","McDonald's Pakistan"
"107","Sri Lanka","October 16, 1998","Colombo","7","(source: March 4, 2013)","3062,857","see McDonald's Sri Lanka"
"108","Georgia","February 5, 1999","Rustaveli Avenue, Tbilisi","16","(source: 2019)","265500","First outlet in the Caucasus. See McDonald's Georgia"
"109","Gibraltar","August 13, 1999","Westside","1","(source: 2018)","34571","See McDonald's Spain"
"110","Azerbaijan","November 6, 1999","Fountains Square, Baku","15","(source: 2019)[45]","657467","See McDonald's Azerbaijan"
"111","French Guiana","February 22, 2000","Cayenne","2","(source: 2016)","148356","See McDonald's French Antilles"
"112","American Samoa","September 29, 2000","Pago Pago","2","(source: 2008)","27821",""
"113","Mauritius","July 4, 2001","Port Louis","8","?","180714",""
"114","Iraq","August 10, 2006","Baghdad","1","(source: 2006)","38270,000","One location in Baghdad for the U.S. Army, but there is also a knockoff called MaDonal."
"115","Bosnia and Herzegovina","July 21, 2011[46]","Sarajevo","4","(source: 2015)","876750","After some 10 years of trying to enter the Bosnian market with no success, McDonald's opened its first restaurant in Bosnia on 20 July 2011. See McDonald's Bosnia and Herzegovina"
"116","Viet Nam","February 8, 2014","Ho Chi Minh City","22","(source: 2019)","5620,000","See McDonald's Vietnam"
"117","Kazakhstan","March 8, 2016","Astana","16","(source: McDonald's 2020)","1288,571","First outlet in Central Asia. See McDonald's Kazakhstan"
